SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
2914-700-926,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Symmetry Dining Table,Gold,,,,,,,,,,,,,,,," Modern, Glam/Luxe",,,,,,,,78,48,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/4c/96/90/64/6490964caeaac3596edb37e5/2914-700-926EC.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/74/ba/4c/66/664cba74294d23b9d2bde21d/2914-700-926_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/68/db/c5/62/62c5db68eac5fb5e390fa06d/34c5e0bfe95b2653b32b98407658655eebe490e0-full[1].jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/5b/96/90/64/6490965bc7f7254cbe4d85c5/2914-700-926EC_R.jpg?s=1000x',,,,,,,,,,,,"Traditional glass top dining table has a contemporary flair with the sculptured base., The bronze curved base features antique silver leaf finish., The large 78"" oval dining top comfortably seats 4 adults.","The Symmetry Dining Table features a modern sculptured base in antiqued silver leaf finish with gold wash to give the appearance of patinated Bronze. Tapered cylindrical arcs are conjoined to form the base, with beveled lay-on scratch resistant top glass. Bold, Modern, understated.","Color/Finish: Gold; Color Details: Gold; Material: Hardwood; Style:  Modern, Glam/Luxe; Collection:  Symmetry; Weight Capacity:  50 lbs; Table Shape: Oval; Seating Capacity: Seats 4-6.; Shipping Weight: 217.00 lbs; Shipping Method: LTL",,,,Hardwood,,Normal,https://www.bassettmirror.com/detail.cfm?id=1097/2914-700-926/Symmetry Dining Table
3241-700-095,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Sheffield Dining Table,Brown,,,,,,,,,,,,,,,," Traditional, Farmhouse",,,,,,,,54,54,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b6/ac/c6/65/65c6acb6cc48104c03cd8001/3241-700-095_i3dpac.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/c2/ac/c6/65/65c6acc284cb98e4fdadf803/3241-700-095_B_t7per1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ae/30/3b/63/633b30ae9816acc4c562ef85/3241-700-095_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/2d/b0/c6/63/63c6b02d8ba28383b7c52d55/3241-700-095_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/62/2c/f4/63/63f42c6231aaaecc776511ae/3241-700-095_R.jpg?s=1000x',,,,,,,,,,,"The Sheffield Dining Table has a rustic contemporary inspired style, The rustic wood table base is paired with a metal belt accent, Features a 54"" round, clear glass table top, Comfortably seats 4 people, Easy assembly required, Look for the Buxton Parsons Chair to complete the set","The Sheffield Dining Table features a contemporary silhouette. The rustic wire-brushed finished wood pedestal base is artfully paired with a bronze finished metal belt around the middle. Features a 54"" round, clear glass top, completed with a beveled edge. Comfortably seats 4 people.","Color/Finish: Brown; Color Details: Weathered Natural; Material: Ash hardwood solids/ Oak Veneers/; Style:  Traditional, Farmhouse; Collection:  Sheffield; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Weight: 138.00 lbs; Shipping Method: LTL",,,,Ash hardwood solids/ Oak Veneers/,,Normal,https://www.bassettmirror.com/detail.cfm?id=1523/3241-700-095/Sheffield Dining Table
8125-700B-T,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Gaines Dining Table,Black,,,,,,,,,,,,,,,," Modern, Rustic",,,,,,,,48,48,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/81/78/d8/63/63d87881d95cc8eec21ae451/8125-700B-T.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d8/78/d8/63/63d878d845952636f4881194/8125-700B-T_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/10/4f/0f/64/640f4f10beb35d340404ca6d/8125-700B-T_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/e1/78/d8/63/63d878e1d95cc8eec21ae454/8125-700B-T_S.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b0/a6/23/64/6423a6b00c8c145a0f0ab50e/8125-700B-T_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b5/a6/23/64/6423a6b5c9ba8be59c19d1e0/8125-700B-T_R2.jpg?s=1000x',,,,,,,,,,"The Gaines Dining Table features a modern rustic style, Constructed with solid mango wood, The charcoal black table features a sandblasted finish a chiseled motif for a beautiful textured finish, The 48"" round table comfortably seats 4, Easy assembly required, Look for the Gaines Server to complete the collection","Gaines Dining Table features a rustic modern inspired design. It is constructed with sandblasted solid mango in a deep, charcoal finish. This 48 inch round dining table features a cone shaped base and hand-laid, chiseled design motif.  Comfortably seats a party of four.","Color/Finish: Black; Color Details: Sandblasted Black Wash; Material: Solid Mango; Style:  Modern, Rustic; Collection:  Gaines; Additional Dimensions: Table Top Measures: 48"" x 2""
Table Base Measures: 23"" x 29""; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Method: LTL",,,,Solid Mango,,Normal,https://www.bassettmirror.com/detail.cfm?id=1379/8125-700B-T/Gaines Dining Table
8340-700-095,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Mateo Dining Table,Black,,,,,,,,,,,,,,,, Contemporary,,,,,,,,54,54,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/56/f6/11/64/6411f656059597f77172946f/8340-700-095EC.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/83/f6/11/64/6411f6839de708b57182e2a6/8340-700-095EC_B.jpg?s=1000x',,,,,,,,,,,,,,"The Mateo Round Dining Table features contemporary styling, Features a wood tapered, open-slat circular table base, Table base is finished in a cerused black oak veneer, Clear glass table top features an ofgee edge treatement, Easy assembly required, Look for the Mateo Dining Chairs to complete the set","The Mateo Round Dining Table features a round tapered slat base design for a contemporary style. Features a 54"" round clear glass table top. The wood table base is finished in a cerused black oak veneer. Additional features include adjustable floor levelers. Comfortably seats 4 people.",Color/Finish: Black; Color Details: Cerused Black; Material: Wood/Glass; Style:  Contemporary; Collection:  Mateo; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Weight: 140.00 lbs; Shipping Method: LTL,,,,Wood/Glass,,Normal,https://www.bassettmirror.com/detail.cfm?id=1062/8340-700-095/Mateo Dining Table
8340-700B-T,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Mateo Dining Table,Black,,,,,,,,,,,,,,,," Contemporary, Traditional",,,,,,,,54,54,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/36/59/d7/65/65d759364e2c144a6b2f7013/8340-700B-T.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/db/a9/0f/64/640fa9dbbeb35d340404d0ba/8340-700B-TEC_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6b/59/d7/65/65d7596b4be2fc06ff27b75a/8340-700B-T_S.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f1/f8/0b/64/640bf8f171b5a8f44175c67a/8340-700B-TEC_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d2/f8/0b/64/640bf8d271b5a8f44175c679/8340-700B-TEC_R2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/4f/59/d7/65/65d7594f4568854f1237a387/8340-700B-T_C.jpg?s=1000x',,,,,,,,,,"The Mateo Round Dining Table features contemporary styling, Features a wood tapered, open-slat circular table base, Finished in a cerused black oak veneer, The 54"" table comfortably seats 4 people, Easy assembly required, Look for the Mateo Dining Chairs to complete the set",The Mateo Round Dining Table features a round tapered slat base design for a contemporary style. Finished in a cerused black oak veneer. Additional features include adjustable floor levelers. Comfortably seats 4 people.,"Color/Finish: Black; Color Details: Cerused Black; Material: Wood; Style:  Contemporary, Traditional; Collection:  Mateo; Additional Dimensions: Top Dimensions: 54x1.5
Base Dimensions: 32x32x29; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Weight: 117.00 lbs; Shipping Method: LTL",,,,Wood,,Normal,https://www.bassettmirror.com/detail.cfm?id=1231/8340-700B-T/Mateo Dining Table
6001-700B-T,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Jennings Dining Table,Brown,,,,,,,,,,,,,,,," Modern, Rustic",,,,,,,,54,54,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/cb/ae/5c/65/655caecb06eb05384ce84e21/6001-700B-T.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/e6/ae/5c/65/655caee606eb05384ce84e30/6001-700B-T_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/05/af/5c/65/655caf0506eb05384ce84e42/6001-700B-T_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f0/ae/5c/65/655caef09c2858ac96fa4110/6001-700B-T_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/fb/ae/5c/65/655caefbfa7a58703a99c3de/6001-700B-T_S.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b0/84/70/65/657084b08c231c06f86cb6a5/6001-700B-T_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b8/84/70/65/657084b82b934809167659e1/6001-700B-T_R2.jpg?s=1000x',,,,,,,,,"Modern design with a rich royal brown mango wood, Mango wood has a natural open grain characteristic that creates a textured finish and a distressed affect, Polished black marble top for added sophistication, Some easy assembly required, Look for other items in the Jennings collection","The Jennings Dining Table blends modern inspiration with timeless craftsmanship. The table features a sleek marble top in polished black.  Supported by a solid wood base in rich royal brown mango, its geometric-inspired shaping adds character to any space.","Color/Finish: Brown; Color Details: Black marble/ Royal Brown Mango; Material: Wood/Marble; Style:  Modern, Rustic; Collection:  Jennings; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Method: LTL",,,,Wood/Marble,,Normal,https://www.bassettmirror.com/detail.cfm?id=502/6001-700B-T/Jennings Dining Table
7315-700B-T,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Raynor Dining Table,Brown,,,,,,,,,,,,,,,," Modern, Boho",,,,,,,,42,42,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f0/56/c1/65/65c156f0bc4abd5f6cddd4b9/7315-700B-T_4bq2du.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f8/56/c1/65/65c156f8886193facf3c9902/7315-700B-T_A_52xu0h.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/02/57/c1/65/65c15702bc4abd5f6cddd4ba/7315-700B-T_B_jafb9w.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/04/17/c6/65/65c6170410d782c0b3218c8b/7315-700B-T_D_4jtz72.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/0f/57/c1/65/65c1570fbc4abd5f6cddd4bb/7315-700B-T_S_gd1o5v.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6d/b2/58/66/6658b26dffa3da9520524261/7315-700B-T_R_rgrnsd.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/73/b2/58/66/6658b2734d2459f75ea9b83d/7315-700B-T_R2_d3ejpd.jpg?s=1000x',,,,,,,,,"Inspired by a rustic boho design aesthetic, Constructed with solid mango wood, Rustic textured finish in rich chestnut brown., The 42"" round table comfortably seats 4 people, Some assembly required, Look for the Raynor Server to complete the collection",The Raynor Round Dining Table features rustic boho styling. The round tapered base design is clean and modern. The solid mango wood table is sandblasted for a rustic textured finished in a burnt chestnut brown. Comfortably seats a party of four.,"Color/Finish: Brown; Color Details: Chestnut; Material: Mango / Resin; Style:  Modern, Boho; Collection:  Raynor; Weight Capacity:  50 lbs; Table Shape: Round; Seating Capacity: Seats 4.; Shipping Method: Small Parcel - Oversized",,,,Mango / Resin,,Normal,https://www.bassettmirror.com/detail.cfm?id=1316/7315-700B-T/Raynor Dining Table
8841-640B-T,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Morlando Dining Table,Brown,,,,,,,,,,,,,,,," Rustic, Modern",,,,,,,,79,40,31,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ad/72/77/64/647772adcf02b07f7dcfbb7c/8841-640B-T.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/a9/72/77/64/647772a97cc8e834231da4d8/8841-640B-T_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/cd/72/77/64/647772cde292411f78c3b9f6/8841-640B-T_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d6/72/77/64/647772d6c0d59e3fabf5a926/8841-640B-T_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/db/72/77/64/647772db2e3d81e7bb4988f6/8841-640B-T_S2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d2/72/77/64/647772d2c0d59e3fabf5a922/8841-640B-T_S.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d3/e9/2a/65/652ae9d3b6ce64f502c357dd/8841-640B-T_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d9/e9/2a/65/652ae9d9b63e1663c0ff1af0/8841-640B-T_R2.jpg?s=1000x',,,,,,,,"The Morlando Dining Table showcases modern design with an oval shape, knife-edge top, and tapered fluted base, Crafted from solid mango wood in a rich royal brown finish, it exudes sophistication and durability, With comfortable seating for 4 to 6 adults, it's the ideal focal point for gatherings, Trust in its quality and style to elevate your dining space with sophistication and warmth, Requires some assembly for setup","Discover the charm of the Morlando Dining Table, a symbol of modern design with its oval shape, knife-edge top, and tapered fluted base. Crafted from solid mango wood in a rich royal brown finish, this table radiates sophistication.Made from durable solid mango wood, the Morlando Dining Table provides comfortable seating for 4 to 6 adults, making it an ideal focal point for gatherings. Rely on its quality and style to elevate your dining space.","Color/Finish: Brown; Color Details: Mango With Royal Brown Finish; Material: Mango Wood; Style:  Rustic, Modern; Collection:  Morlando; Weight Capacity:  50 lbs; Table Shape: Oval; Seating Capacity: Seats 4-6.; Shipping Method: LTL",,,,Mango Wood,,Normal,https://www.bassettmirror.com/detail.cfm?id=1016/8841-640B-T/Morlando Dining Table
7049-DR-600,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Dunnigan Dining Table,Black,,,,,,,,,,,,,,,," Modern, Contemporary",,,,,,,,76,40,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f3/d3/10/63/6310d3f3521764e40ae37400/7049-DR-600.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/fa/d3/10/63/6310d3fa2af694c354494c63/7049-DR-600_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/8b/fe/f1/65/65f1fe8b2bc4ca5854c14866/7049-DR-600_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/95/b3/4d/63/634db395389e23d05c362c11/7049-DR-600_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/18/62/1b/64/641b62188f6d058f37651877/7049-DR-600_B_hg3dyx.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/3e/e3/a8/66/66a8e33e2fc2991809713819/7049-DR-600_R_cms4dp.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/4b/e3/a8/66/66a8e34b48be27e4feb8e7e6/7049-DR-600_R2_y6fwsq.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/8e/e3/a8/66/66a8e38e9ffac4e632b346c7/7049-DR-600_C.jpg?s=1000x',,,,,,,,"Dining table features modern styling with an organic architectural inspired design, Flat-cut oak wood finished in a black matte stain, Curves and lines combined for a unique style, Seats 6-8 people, Easy assembly- just attach legs, Look for the rest of the Dunnigan collection to complete the set!",The Dunnigan Dining Table features modern styling with an organic architectural inspired design. The flat-cut oak wood is finished in a black matte stain. The base design features curving on the inside and straight on the outside for a unique look. Also included are adjustable floor levelers for an even balance. Seats 6-8 people.,"Color/Finish: Black; Color Details: Black Matte Stain; Material: Wood; Style:  Modern, Contemporary; Collection:  Dunnigan; Additional Dimensions: 28"" floor to bottom of table top; Weight Capacity:  50 lbs; Table Shape: Rectangle; Seating Capacity: Seats 6-8.; Shipping Weight: 144.00 lbs; Shipping Method: LTL",,,,Wood,,Normal,https://www.bassettmirror.com/detail.cfm?id=1704/7049-DR-600/Dunnigan Dining Table
D2624-600-909,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Tables,,,,Murano Dining Table,Silver,,,,,,,,,,,,,,,," Glam/Luxe, Contemporary",,,,,,,,96,44,30,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/5a/75/e4/66/66e4755ab9022f7ca8bd8b1b/D2624-600-909.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ca/44/0e/64/640e44ca71b5a8f44175cf18/D2624-600-909EC_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/95/44/0e/64/640e4495beb35d340404ba9d/D2624-600-909EC_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/0d/45/0e/64/640e450dbeb35d340404ba9f/D2624-600-909EC_R2.jpg?s=1000x',,,,,,,,,,,,"Elegant glam antiqued mirror accented with silver leaf beaded edging, 96"" Glass dining table top allows room for all your dinner guests, Features two antique mirror, triangular pedestal bases, Shop the rest of the Murano collection to complete the look","The Murano Dining Table brings elegant glam to your dining room. Featuring antiqued Picture-Frame edged mirror panels and a Silver Leaf beaded detail, the Murano is all about modern elegance meets old world charm.","Color/Finish: Silver; Color Details: Silver Leaf/Mir; Material: Poplar / MDF; Style:  Glam/Luxe, Contemporary; Collection:  Murano; Weight Capacity:  50 lbs; Table Shape: Rectangle; Seating Capacity: Seats 6-8.; Shipping Weight: 316.00 lbs; Shipping Method: LTL",,,,Poplar / MDF,,Normal,https://www.bassettmirror.com/detail.cfm?id=1049/D2624-600-909/Murano Dining Table
